,answer
0,"考研狗
6:15表响，
6:25起床，
6:40出发去自习室，
7:00准时开始背书
8:50到9:00休息十分钟
9:00-11:20继续背书，
11:30-12:20回去把背的东西简单默写一下，并给下午晚上做计划
12:25-13:00吃午饭，
13:10-13:30睡午觉，
13:40-14:20起来背英语作文或者专业课
14:30-17:00英语
17:10-18:20政治
18:20-19:00晚饭，
19:00-20:30复习一天背过的东西
20:40-22:30查漏补缺
22:30-22:45回寝室
22:50-23:30看视频课，
23:30-0:20背专业课或者英语
0:40睡觉，
一天蛮累的，希望能考上，不辜负这么多天的努力
……………………………………………………………………
首先，谢谢大家的关心和鼓励，时间有限，在这里就不一一回复啦。
在这里集中回答一下各位的问题，答主想考的是华中科技大学的非传统安全专业，专业课是西方经济学跟管理学，答主是一个河南的普通二本学生，管理这两个专业课虽然都学过但都是走马观花，及格就完事的程度，现在要重新捡起来学，实在是……大家想象一下就知道了……"
1,"一个高二理科实验班妹子
6.00 挣扎着起床
6.15 出门步行去学校
6.30 和翔侃大山
6.40开始早读 认真背英语 或者语文 尽力不睡觉
7.30 送作业 或者放空
一上午上课 经常在老师讲题时走神 但是会很快回来 讲新课或者自己没懂的东西绝对不会走神 下课有时会写作业
中午吃完饭会宿舍写会作业 或者和室友侃
能不能睡着全看运气
下午 吃点水果 准备一下午的奋斗
告诉自己 我热爱学习！我热爱学习！
非常有用
晚自习是6.00开始我一般5.45吃完饭就回来写作业
一般晚一我会在本子上列计划 如下



打勾的时候超爽 时间不够也做不到多精美
晚二除非作业很多很可能写不完 我一般会用这段时间做一套完整的英语卷子 作文不写
晚三一般复习 整理错题或者做老师买的自己买的学校发的练习题
晚四会写一写语文 因为这个时候犯困 不适合做理科 有时间再复习 背背书之类的
下自习 让牟哥帮忙交作业 我的目标就是励志让全市第一帮我交一学期作业 (๑òωó๑)
调戏一下德哥 捏捏德哥脸超有幸福感ฅ(♡ơ ₃ơ)ฅ
回家 到家大约10.15 20左右 洗澡啊上厕所啊 刷微博 或者再写几道英语或者物理
上床看五分钟小说 睡着大约11.30
过的很开心很幸福 感觉每一天都朝气满满 开始把学习看做一种开心的事而不是不得不为的任务 每天划钩总结的时候满足感爆棚 大概是自律的力量
————————关于周末————————
我们这里每个周就放24小时
对 没错 24小时 周六下午五点放周天晚上就要回去上晚自习
所以我去年一年…周末24小时基本就荒废了…
今年还在努力 端午节啊 国庆节假期还没有荒废(o´ω`o)ノ
这学期开始在微博上面记录每天的studyaccout



平时周末会跑步 啊虽然还是个渣渣
最近在准备1500 今天晚上跑了一下 简直垃圾的要死… 害怕给班级丢脸QAQ
我本身微胖…现在知道的参加的女生都是又瘦又高的…我…QAQ
没关系！加油！你最大！你的心情最重要！好的！别管他们！
学习最重要！国庆回来要月考！！好好学习！
——————————10.4——————————
QUQ发现有好几个赞和关注评论真的超开心ヽ(○^㉨^)ﾉ♪ 毕竟我还是个知乎小透明(⁄ ⁄•⁄ω⁄•⁄ ⁄)
家乡是小城市而且每年这里的分又高的不行 山东又是全省最高 只能努力努力再努力
但是也不是盲目的努力啊 高一到现在一直在摸索学习方法这样 一直觉得总结比刷题更重要 希望找到适合自己的 不要急功近利被别人的学习节奏带跑 月考马上来了哈哈哈哈 检验自己的时候要到了！ yeah！
我也没有逼自己太紧啊⁽˙³˙⁾◟(๑•́ ₃ •̀๑)◞⁽˙³˙⁾你们看到的我也很普通 班级里还有更厉害更用功的女孩子 但是我不想在高二就逼自己这么紧 怕高三撑不住 高三拼的就是体力和心理状态 必要的放松是需要的
所以嘿嘿嘿 我今天就要出去玩啦（*/∇＼*）
谢谢大家呦(*°∀°)=3
—————————吃吃吃吃吃——————————
吃货哈哈哈哈

以及喜欢自己做（*/∇＼*）



人生嘛 自己开心最重要 怎么开心呢
吃啊吃啊吃啊（*/∇＼*）
不减肥！yeah！
———————300赞(/≧▽≦/)———————
谢谢大家厚爱(⑉°з°)-♡
评论不能一一回复 谢谢给我鼓励的知友✧ (ˊωˋ*) ✧感觉好温暖(｡･ω･｡)
明天就要开学啦 大约连上十天这样……一般不会上知乎 知乎对我来说是一个提升自我的地方 一些学习方法都是从知乎一些答案里汇总来的 不断反思不断改正 找到方向后正在坚持
感觉积极热情的人的生活会是良性循环 只要你迈出一步 坚持一段时间你就会发现生活越来越好啦 (๑òωó๑)
好的我们一起加油吧 yeah！
ps:夸我可爱的朋友们超级喜欢你们啊(๑•̀㉨•́ฅ✧
（*/∇＼*）现实生活中178的我就是个汉子嘿嘿嘿 比心比心比心再比心ｸﾞｯ!(๑•̀ㅂ•́) ✧
————11.6—————
从来不觉得 努力是一个值得炫耀的品质 热爱和探索才是 如果我身上的标签只剩下了 努力 二字 那我可能就需要好好反思了 究竟是做错了什么 才需要这么青筋毕露的面对生活
不想把学习当做一件不得不为的任务 只有把学习当做真正的热爱和向往做的事情 才能获得长久的动力 这是肉体的鞭挞和感情的激励所无法达到的 自制力如同轨道一般坚定的延伸
———————2017.1.25—————————
刷图书馆回来更新一波
高二上学期结束啦 最后一次统考果然像我之前的统考一样 一如既往的烂
成绩下来的时候真是委屈的要哭出来了 因为毕竟努力了一个学期 最后冲刺半个月又是那么拼命 但是这种结果真的让我瞬间有放弃努力学习的想法 与其拼命付出换来这样的结果 不去放任自然还能过得更舒服些
其实港真 我现在还没从这里面缓过来 放假也颓废过两三天 但是又必须要振作精神起来 因为我要准备生物竞赛 必须开始自学普通生物学 年后就要集训 我必须得站起来继续前进 所以现在就是一种专注现在不去想那么多 包括下学期怎样怎样的 会给自己时间缓冲的 但是现在必须要马不停蹄的努力起来啦ヽ(•ω•ゞ)"
2,"大三在读文科狗。
国庆放假没有出去看人山人海，在家闲着就来分享一下在校的日常。
我因为长期规律作息，所以养成了晚上11点前必困，早上6点前必醒的生物钟。所以我的一天一般都是从早上五点多就开始啦~
五点半左右会自动醒，我不喜欢赖床，是那种一旦醒了就再也睡不着的人。但是会睁着眼躺半个小时左右，有时候是在脑子过一遍当天要做的事，有时候就什么都不干，纯发呆，不过也是怕起太早打扰到室友。
六点多起床，刷牙洗脸换衣服整理桌子。如果是有课的日子就会把椅子搬到阳台，泡杯牛奶听听轻音乐或者英语听力，等室友都起来了就一块去餐厅吃饭、上课。
如果是没课的上午，会自己做早饭吃，一般是香蕉三明治再泡杯燕麦牛奶。七点钟出去跑步，然后回去洗澡换衣服，八点半左右去图书馆看书或者写作业。
上课我都会带两个笔记本还有字帖(还有好多好多饼干~)，如果老师课上的有趣我就听课，如果无聊我就整理平时的读书笔记和英语笔记或者干脆练字，写烦了就给小伙伴们分饼干，大家一块卡嚓卡嚓的偷吃，哈哈
中午有时候也自己做饭，蔬菜面~土豆面~拌面~总之都是面啦~我是习惯一边吃饭一边看美食节目，会比较有食欲，哈哈，每天中午必须午睡半个小时。
平时下午基本上就两节课，所以下课了也都是去图书馆待一会，看看杂志。五点半左右吃晚饭，吃完饭回去看一集剧，然后六点半去操场跑步到八点。
回来洗澡洗衣服收拾东西，基本上就是九点多了。我会提前列好第二天要做的事，然后会练习一章英语口语，或者做一个英语配音训练，有时候就只是听听歌看会书刷刷微博。等宿舍关灯了就睡觉~
基本上上课的日子就是这样，我们周五全天没课，也就是我一周连休三天哦~周五我一般还是去图书馆，因为有一天的时间，所以可以用来整理一周的笔记，顺便写写日常总结。
周六都是出去玩了，早上八点出门，随便坐公交车看到哪好玩就从哪下，买点好吃的瞎晃悠，顺便买买衣服，采购食物。但是会定期去博物馆看流动展览或者市图书馆，也经常去公园听戏，偶尔打打球。晚上回来刷剧，吃零食和室友一块看电影。。
周日不出门的话，就会鞋子通通刷干净，被单枕巾都得换洗，整理衣服，收拾柜子。然后睡个大懒觉，从下午一点可以一口气睡到五点，晚上就还是跑跑步或者和室友一块去学校周边散步。
大部分时间都是这样过，从不赖床偶尔也熬夜追剧~没有活的特别精彩，有点清淡但是我觉得都还好啦~哈哈"
3,"睁眼，起床，洗漱，过马路上学，调侃，下课，扯淡，浪，回家，玩手机，玩电脑，看下离考试还有多久，在悔恨和不安之中不断地谴责自己不够努力，在不安，焦躁，恐惧，愤怒的复杂情绪包裹下慢慢睡去，往往得从11，12点一直熬到3，4点。
这是我这两年的生活，基本每天都是一样的。
后来我遇到一个女孩，她教会我人生不止如此，她让我想起自己心中那个桀骜不驯的孙悟空。
现在我的生活是
睁眼，起床，洗漱，上学，放学，健身房，摄影（每天坚持一张或者p一张，多亏这个女孩，这俩星期基本靠p），弹琴，练习ps，ai，ae，散步，洗澡，拉伸，写日记，然后疲惫却满足地闭上眼睛。
生活其实很美好，很多时候，有些事情，并不是心有余而力不足，而是力有余而心不足，一直在害怕，恐惧着未来，权衡太多反而失去了往前迈出一步的勇气。而当你真的迈出这一步，你才发现，面前的辛苦，困难是那么的充实，以往的焦虑是多么的可笑，多么的虚。以前很崇拜一位老师，会音乐，会后期，爱运动，爱摄影，口才好，性格好，文笔好。一直很好奇他是这么做到的，他说“哪里有那么多原因，当你迈开第一步，生活就会逼着你一直往下走。而大多数的人苦恼，在于没有勇气走出那一步。”所以，如果羡慕别人的生活，那就迈开步子向着自己喜欢的生活靠近，走得远了，你会慢慢发现，想要的生活，已经过上了。要知道，你现在所遇到的问题，大多数都可以用练习不够，努力不够来解释。
最后，送一句她的话吧“经文在西天，宝藏却在九九八十一难里。”
希望你也可以早日找到你的宝藏。
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1004更新
这样做的确很累，但是比起累我更怕自己就这么平庸地过完一生，或许我还年轻，不太懂这个世界的险恶，但是就是因为年轻，我想拼下，我想做到最好的自己，不为什么，只为自己临终前可以骄傲地告诉自己“这个世界我来过，我拼过，我死而无憾！”
送大家一段我很喜欢的话好了
我曾经七次鄙视自己的灵魂。第一次，当它本可进取时，却故作谦卑；第二次，当它在空虚时，用爱欲来填充；第三次，在困难和容易之间，它选择了容易；第四次，它犯了错，却借由别人也会犯错来宽慰自己；第五次，它自由软弱，却把它认为是生命的坚韧； 第六次，当它鄙夷一张丑恶的嘴脸时，却不知那正是自己面具中的一副；第七次，它侧身于生活的污泥中，虽不甘心，却又畏首畏尾。
---卡里·纪伯伦
Seven times I have despised my soul:The first time when I saw her being meek that she might attain height.The second time when I saw her limping before the crippled.The third time when she was given to choose between the hard and the easy, and she chose the easy.The fourth time when she committed a wrong, and comforted herself that others also commit wrong.The fifth time when she forbode for weakness, and attributed her patience to strength.The sixth time when she despised the ugliness of a face, and knew not that it was one of her own masks.And the seventh time when she sang a song of praise, and deemed it a virtue.
Kahlil Gibran, Sand and Foam"
4,"7点10分起床，洗漱吃饭，8点20左右开始学习，到11点10分左右下楼买菜做饭吃饭，12点45左右午休到2点左右，看会手机，两点半左右开始学习，5点半左右下楼买菜做饭吃饭，吃完饭洗洗衣服或者刷会美剧，7点多开始学习，到10点40左右去洗漱上床躺下，玩会手机11点15左右闭眼睡觉。
一个在外租房住的考研党的日常。
（但很明显，按照上面写的我现在应该在学习，然而我却在这里刷知乎……捂脸……）"
5,"写完感觉甚是唏嘘，半年前的我，还每天喝大酒，泡吧，唱k，沉迷网游，一天至少一盒烟，不到凌晨2点不睡，眼看着身体一天不如一天，于是决定要换个生活方式，不想让老了以后后悔，也想给未来的孩子一个榜样，毕竟身体才是最重要的！加油，骚年。

以下原文

上班狗一只，偶然看到了这个问题，试着写下最近三个月的生活状态，告别了以往长期酗酒，吸了九年的烟和晚睡晚起沉迷网游av的日子，朋友圈也早已关闭，现在感觉身体轻松无比。
上午
6.30：闹钟响，打开手机浏览感兴趣的app让自己慢慢醒来。
6.35：坐起来半倚在床头，冲一杯黑咖啡。
6.45：起床，洗漱。
6.55：打开电饭煲，把粥熬上，蒸一个鸡蛋，一块紫薯，一块鸡胸肉。
7.00：做腿部拉伸。
7.05：带耳机，换鞋，出门跑步。
8.00左右：回家，打开电饭锅，切好要吃的青菜，简单拌一下。
8.10：两组俯卧撑，三组哑铃，三组仰卧起坐，一组平板撑，引体向上健腹轮到极限，深蹲50个。
8.40左右：吃饭。
8.50左右：洗碗，收拾收拾屋里，给喵星人喂食，给女朋友做好午饭装到保温杯。
9.30：上班，顺便带饭给女友。
下午
13.30：下班，路上超市买点第二天给女朋友做的菜。
14.00：到家给喵星人喂食，铲屎，给花花草草浇水，给鱼儿们喂食，捞捞缸里的水草。
14：30：和女友视频。
15：00 ：看会电影。
15：40：小憩一会。
16：10：上班。
晚上
21：00：下班。
21：30：到家，给喵星人喂食，把第二天要吃的稀饭泡上，做一组俯卧撑，仰卧起坐，引体向上。
22：00：洗澡。
22：20：和女友视频。
23：00：准时睡觉。
回答几个问题：
和女友已订婚，但还没住在一起。
从事餐饮行业，酒店管理，所以上下班时间和大多数职业不同。
刷知乎，骚聊等等，大多上班期间进行。"
6,"我不太喜欢太规律的生活，但是大概要求自己大概在什么时候做什么
早上早起，一般是七点前。
上课前的一大段时间会做一些每天的基本学习，比如背英语；基本的身心修养——冥想，祈祷
上课时间上课或者去自学或者看自己喜欢书
晚上一般是跑步或者做一些伸展运动或者做今天的作业再做一些放松的，比如下面的
看电影（英文版的，一般是有一些深意的，美国的电影真的蛮多优秀的电影，因为比较少接触国内的电影，一般了解的也就是热门的电影，但是近年来国内的热门电影都是青春偶像片，要不就是一些我看不懂笑点的戏剧电影
看美剧/英剧（
TED
知乎
平时微信，浏览器，收藏的网址
大概主要的就是这些了

大概六天一个休息日，休息日主要也是以上这些方式放松
平时还会去学校或者小公园逛逛，小公园本来就是地表凹下的一个坑做成的湿地公园，都是树，还有很多湖。
心情很不好的时候，会出去学校外的小街商场逛逛，寻找新的好吃的，留意平时因为匆忙而没有留心的东西……喜欢看天，不管是没有云朵的天，还是云卷云舒的天；我喜欢看有树叶的天空，天空和树叶真的很美……
总之就是有大致方向，但不会强求自己完全按目标任务落实。
灵活，随遇而安，既来之则安之。是我的方向。"
7,早上起床吃午饭，吃完开电脑，上qq看看新闻，上1k看新闻，xx浮世绘、图说，上贴吧看看有啥事可以搞一下，也许找个电影看上一个多小时。上微信约人吃晚饭，有时候自己吃，不知道干啥，打开电视CCTV10，自然传奇，荒野求生都看完。时间差不多了开始正式约妹子啪啪，约不到只能撸啊撸
8,"逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝逛淘宝



------就这样度过了丰富多彩的一天"
9,"大学刚毕业，工作半年，坐标杭州。
早7:00起床，在床上发呆半小时。
7：:30洗头洗脸刷牙。
7：:50出发，开车10分钟到单位。
8：00准备工作。看群里发布的工作任务。
11:45吃饭，看知乎。
13:00开始工作。
16:30下班。买菜。
17:00到家做饭，开音响，边high边做。
18:00吃饭，背单词，洗碗。
19:00看新闻联播，焦点访谈。
20:00看体育新闻，开始抽烟斗。
21:00玩炉石看直播。
22:00洗澡。
22：15上床看书。
23:00睡觉。
（不定时出差，陪客户）
忘了说一件重要的事，我还没有女朋友
———————————————————————————————————————————
知乎上总有一群这样的人，他们一句话就能给你说的没有聊下去的欲望了，对于这样的人，我想问一句，你爸妈知道你这样吗？"
