,answer
0,"不下雪的时候。
6:10起床洗漱，6:40到小区早餐店买一个土豆丝卷饼（老板很熟练的给加双份蛋）一袋牛奶，7:00上通勤车吃掉早餐开始睡觉。
8:30到单位，换衣服开车上路巡查，期间处理事故或者清理路面被撞死的各种动物。
11:30回到单位填写巡查报告然后吃饭午休。
13:00上路巡查，重复上午工作，有可能会驱逐一些牛羊，或者跪求遛弯的大爷大妈还有一些拣瓶子的热心群众离开高速。
15:30回单位填写巡查报告换衣服。
16:00下班，在通勤车上翻翻知乎贴吧微信或者跟同事打几局游戏。
17:30下通勤车，回家。
如果下雪，值班N天，驾驶各种清雪设备上路进行驴拉磨一样的跑圈。"
1,"每天六点半起床洗漱，七点健身，八点出门去办公室，一天不是上课就是闷在实验室码论文，晚上十点多回家，十一点半洗漱完刷刷手机到十二点睡觉。周六早晨必去一趟超市，下午继续去办公室。
一个人生活，一个人住一居室，闷了和办公室学长学姐聊聊天，周末晚上偶尔请小伙伴来家里吃饭。美帝phd女的生活就是这么枯燥，家里学校两点一线，出国留学这么不是来浪的。。。"
2,"六点半起床，洗漱吃饭。
七点多到实验室，开始搬砖，不想搬砖的时候就在搓手机。
十二点吃饭，吃完饭，上网看看视频，然后午休，两点起床去实验室，接着搬砖，不想搬砖的时候就在搓手机。
下午五点，天气好就运动一下，不好或者犯懒就歇着，六点多吃饭。
晚饭后稍事休息，然后去实验室，接着搬砖，不想搬砖的时候就在搓手机。
搬砖或搓手机到，十点多，回宿舍睡觉。"
3,"6点半起床
6点45洗漱完毕并开始练听力
7点半开始穿外套收拾书包
7点40出宿舍楼
7点45买早餐
8点开始上课
8点05开始自习
8点45课间休息
8点55再次开始自习
9点40下课，开始休息
9点45走出教室，在走廊上神游，运气好的话还可以碰见女神。
10点上课
10点05开始自习
10点45课间休息
10点55再次开始自习
11点40下课
11点45到三楼自习室睡觉
12点20起床，开始做阅读
13点20去教室
13点30上课
13点35开始自习
15点10分下课
晚上根据心情 可能学习可能颓废
我也不想自习，只不过老师讲的要么太无聊，要么太慢。这是一个一流的社会主义大学应有的样子？"
4,"警校的孩子，一天总是开始的比其他学校早些。
五点四十，生物钟让人掀开被子坐起来，穿衣下床洗漱，喝一杯温水，预备即将开始的体能训练。
六点，宿舍楼里往外蜂拥而出各系部的人员，带到各自训练场地出早操。
六点四十，清晨体能完毕，食堂人满为患，能看到有人在寒风里捧着杯豆浆，两人成排三人成行四人成方的往宿舍楼走。
今天的早操结束的早了点儿，快点儿回去还能床上再赖十分钟。
七点十分，开始整理内务。
豆腐块被子、一尘不染的床框和柜子，大小门门框，阳台窗户，阳台地面，床梯。
七点五十五，早集合哨声吹响。
各系部列队带往教学楼，有人在队列里昏昏欲睡，纪检和督察来回巡视。
“同学，你扣子没扣好，来把名字写一下。”
美好的一天，从被纪检部记名字开始。"
5,"作为一名高三学生东北的辽宁的
唉说一说最近吧
6:00起床（其实这大冬天的我都得6:30起来）
赶紧上厕所洗脸刷牙换衣服吃饭
6:50出家（噗！不对！出门去学校）
7:10左右到学校（其实学校要求7点到校 然后我最近天天迟到…）如果不堵车会早点
7:30开始上课 55分钟一节课 上午上4节（中间有跑操）
11:50下课 吃饭
因为我选择了艺考 而且我学的挺晚10月份学的12月就统考了
所以我现在天天中午走 下午去学艺术
13:00到学艺术的地方
18:00回家
以上是现在的周一到周五
周六
正常上学
17:00放学
17:30到学艺术的地方
19:00下课回家
周日
8:15上课上艺术
12:00下课
12:30～14:00去补地理
14:00～15:30在补课班自习室
15:30～17:00上历史
18:00～20:30去上数学
然后回家吃饭
累 唉
熬一熬 还有半年了"
6,八小时+N的工作日常，周末自动加班，除去工作最喜欢的是一个人宅着，逛超市买一堆菜回去煮饭，自娱自乐，但是在别人眼中估计是无趣极了
7,"谢邀
答主坐标沈阳 警校生 闲来没课唠唠警校生活的日常

每天6点起床跑早操 跑完吃完早餐7点回寝洗漱收拾内务，7点40集合上课，时间很紧

收拾前与收拾后（一秒还原get～(￣▽￣～)~）
去上课得走队列唱军歌
早上一般都满课11点40下课之后食堂会很挤
睡不了多久 下午1点过又得集合 必须出寝室3点30 之后才能回寝
晚上7点必须离寝8点30之后才让回来
日复一日的日子很枯燥 同学之间像战友一样
爱你们"
8,"泻药。
出来学习编导了，每天六点起来上学，背一个小时文常然后吃饭，吃完饭之后上课，有时候没有老师就背文常看电影写影评，中午去拿手机给爸妈打个电话，下午重复上午，晚上五点四十吃饭，回班后背文常然后考试，接着看电影，整理影评资料，十一点回宿舍洗澡，偶尔偷着玩玩留下的手机，然后睡觉。
今天晚上吃了同学的自热小火锅，贼鸡儿辣，第一次吃感觉不怎么样。"
9,"我一个普通大二学生
早上8点上课我一般6.50起床，顺便叫室友起床洗漱，拿盆暖壶牙刷迷迷糊的去水房占领洗漱位置，看见素面朝天的同学说“hi~”心里会想这大山沟子里的水怎么这凉”“她不化妆比化妆好看多了”“我近视是不又严重了”“他是谁啊跟我打招呼，我好像不认识”“hi”我还是这么回应了。
化妆一般10分钟搞定，早是自己冲的一袋豆奶或者一罐粥，边看微博边吃，等室友收拾完7.50去上课，如果是考试课就会好好听课不玩手机，如果是考查课会玩手机玩一节课，直到听到“这个记在笔记本”我才会抬头写下一堆不知所云的专业知识。
中午吃什么？这个问题上完第二节课就在我心里琢磨了，问问室友他们吃啥我吃啥吧，没有特别想吃的。

下午没课就会在寝室呆着看看电视剧，看看书小说，下午3点跳绳做天鹅臂，吃个水果，上床继续躺着重复以上动作。

晚上6.30-8.30晚自习，拿着手机和要背的题一般玩手机比较多~~~

自习回来后卸妆，洗漱，和我妈边泡脚边视频，说一说今天的趣事，委屈啊,blablabla~
睡前记账 写明天要做的事 写手帐 每日一页 五年 人生一趟，喜欢这种有仪式感的事，上床玩手机到10.30，滴眼药水睡觉。"
