,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_00,96,2,0,0,0,0,0,0,0,2,10,5,6,13,1,31,15,14,4,0,1,3,0,9,1,8,11,0,13,18,10,6,4,0,0,0,14,1,3,2,0,20,1,1,7,12,0,7,5,0,0,3,21,6,0,0,15,34,7,5,22,1,0,71,33,32,18,12,4,5,2,1,2,13,0,10,2,1,0
text_01,75,5,0,0,0,0,0,0,0,5,4,2,9,3,4,24,9,5,2,0,1,0,1,3,1,3,0,0,20,12,4,0,4,0,0,0,10,1,1,1,0,14,5,0,0,2,3,4,5,0,1,3,10,3,5,0,2,12,6,0,6,0,0,52,9,28,18,15,3,12,0,0,3,11,0,2,5,2,4
text_02,73,1,0,0,0,0,0,0,0,1,7,3,12,12,5,11,12,6,12,0,5,7,0,8,0,8,8,0,10,4,10,2,5,0,0,0,7,0,0,3,0,16,3,1,6,6,0,7,16,4,4,4,17,6,1,0,10,6,0,0,3,2,1,51,15,23,18,4,4,8,0,0,0,9,0,0,2,2,5
text_03,110,2,1,1,0,0,0,0,0,1,16,13,16,4,4,35,23,10,5,1,2,2,0,7,1,6,2,0,7,6,12,5,4,0,0,0,5,0,0,2,0,36,4,11,14,5,2,7,5,1,3,1,7,5,0,0,2,22,1,1,18,3,0,76,23,50,19,23,6,8,1,4,0,47,1,39,7,0,0
text_04,156,12,2,0,0,1,1,0,0,10,21,5,15,4,1,43,16,7,10,0,5,4,1,16,1,16,1,0,25,15,8,5,3,0,2,0,19,1,3,0,1,27,5,5,5,1,3,5,8,3,1,0,11,3,1,0,7,16,1,0,10,4,1,74,20,39,26,18,4,12,0,0,0,10,2,2,7,0,0
text_05,148,10,5,5,0,0,0,0,0,5,21,3,16,12,3,37,25,18,15,0,10,2,3,23,6,20,9,0,10,9,9,3,5,0,1,1,6,0,1,2,0,34,17,3,4,3,0,6,9,2,2,2,11,3,1,0,7,24,5,1,19,0,0,105,26,45,48,28,7,8,0,1,0,42,1,30,5,4,3
text_06,34,3,0,0,0,0,0,0,0,3,5,0,5,2,3,6,2,1,3,0,2,0,1,4,1,4,1,0,4,6,6,3,3,0,0,0,4,0,1,0,0,7,3,0,0,0,1,3,0,0,0,0,2,0,0,0,2,6,1,2,2,1,0,14,3,5,6,4,4,1,2,0,0,5,0,1,4,0,0
text_07,94,3,2,0,0,2,0,0,1,1,5,7,19,6,2,25,24,13,11,2,1,7,1,10,1,10,12,0,8,8,5,3,2,0,1,0,12,0,3,4,0,9,2,1,4,0,3,1,6,1,2,2,9,2,2,1,5,12,4,1,7,0,0,61,13,33,31,11,6,4,0,1,2,10,1,8,1,0,0
text_08,81,1,0,0,0,0,0,0,0,1,5,0,11,7,2,14,19,15,18,0,7,9,2,10,2,10,7,1,13,9,6,2,4,0,0,0,13,2,2,6,1,20,7,2,0,6,2,2,17,2,3,6,17,5,2,0,11,17,1,0,13,2,1,53,11,23,30,11,4,3,0,0,0,8,0,2,2,3,1
text_09,209,26,15,11,0,0,3,1,0,11,29,10,29,20,8,37,27,18,23,1,8,10,4,23,8,19,14,5,21,18,28,16,9,0,0,0,40,1,7,3,2,48,22,2,11,14,2,10,41,12,12,10,35,15,2,2,17,37,5,2,23,6,3,88,28,42,29,19,9,16,1,2,0,36,0,17,20,2,3
text_10,272,9,2,2,0,0,0,0,0,7,33,9,12,13,2,61,33,17,17,1,4,9,3,16,3,16,7,3,77,39,10,5,5,1,2,1,5,0,1,1,0,41,7,3,6,19,3,6,28,11,1,5,41,8,8,4,26,18,0,2,17,0,0,140,38,72,42,16,9,11,0,1,5,14,2,0,8,2,3
text_11,112,4,1,0,0,0,1,0,0,3,8,3,9,5,5,34,21,15,4,0,2,2,0,6,0,6,1,1,30,6,8,3,4,0,1,0,20,0,8,1,1,10,2,0,1,3,1,2,8,1,2,2,10,2,1,1,6,29,11,5,13,0,0,58,11,39,16,16,6,3,2,0,1,6,1,0,1,2,3
text_12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,6,2,0,1,1,0,0,0,0,0,0,1,2,3,3,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,3,1,1,1,8,3,0,1,4,9,2,0,7,0,0,15,4,8,6,13,3,5,0,0,0,12,0,12,0,0,0
text_13,116,4,1,1,0,0,0,0,0,3,15,10,14,8,3,28,18,10,15,1,4,5,4,13,6,11,8,0,8,11,17,11,5,0,1,0,23,3,6,3,1,26,8,0,9,4,3,3,13,3,4,3,12,7,1,1,3,27,9,1,15,3,0,62,15,27,28,20,2,8,5,0,0,34,0,19,15,1,0
text_14,127,6,2,2,0,0,0,0,0,4,12,4,9,5,1,28,12,10,6,2,1,2,1,7,2,6,3,0,43,13,13,6,5,0,1,0,11,2,3,1,0,15,3,2,4,2,2,2,16,3,3,4,29,12,1,1,16,21,5,4,10,2,0,63,17,36,20,8,5,6,2,0,0,6,1,2,3,0,1
text_15,224,6,1,1,0,0,0,0,0,5,22,5,36,28,7,46,31,20,21,1,3,12,5,19,4,19,16,0,34,24,23,11,10,0,1,0,22,0,6,4,0,41,7,3,4,19,0,10,25,8,3,6,36,12,2,2,20,32,7,3,19,4,1,105,18,63,35,17,7,16,6,1,1,21,0,2,12,1,6
text_16,70,6,1,1,0,0,0,0,0,5,8,2,14,7,4,14,11,7,5,0,1,4,0,9,3,6,2,1,6,10,5,2,2,1,0,0,11,0,4,2,0,12,4,0,1,3,4,4,7,4,0,2,13,6,1,0,6,21,9,1,8,1,4,25,4,15,11,6,1,9,0,0,0,21,2,9,3,5,3
text_17,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,8,4,4,0,3,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,1,0,0,19,2,4,7,28,10,3,1,14,5,0,0,5,0,0,33,15,20,4,13,4,13,0,3,0,7,0,7,0,0,0
text_18,22,0,0,0,0,0,0,0,0,0,2,1,5,1,0,4,1,2,1,0,0,0,1,3,1,3,3,0,2,5,4,3,0,0,0,0,2,0,0,0,0,5,3,0,1,1,0,0,4,0,1,1,10,3,4,0,3,9,1,2,6,1,0,12,3,6,3,6,2,2,0,0,2,1,0,0,1,0,0
text_19,87,5,4,4,0,0,0,0,0,1,6,8,11,4,3,14,20,10,11,1,2,4,4,9,4,7,2,0,17,5,5,3,2,0,0,0,5,1,0,1,0,17,7,0,5,3,1,3,9,1,3,4,14,9,0,0,5,11,1,0,9,0,1,42,16,27,6,7,4,8,1,1,0,7,0,0,5,2,1
text_20,43,3,0,0,0,0,0,0,0,3,5,0,9,3,4,8,3,4,5,1,1,3,0,4,1,3,2,0,6,3,3,0,3,0,1,1,1,0,0,0,0,8,2,0,0,2,1,4,6,5,0,0,5,2,0,0,3,6,2,0,4,0,1,20,3,11,7,3,0,4,0,0,0,2,0,1,1,1,1
text_21,17,3,1,1,0,0,0,0,0,2,0,0,3,0,0,4,0,1,1,0,0,1,0,1,1,0,2,0,3,6,3,3,0,0,0,0,3,0,0,0,0,5,0,1,1,1,1,0,1,0,0,1,3,1,0,1,2,6,2,2,1,2,0,7,1,4,2,4,1,2,1,0,0,2,0,0,2,1,0
text_22,24,0,0,0,0,0,0,0,0,0,3,0,0,2,0,10,9,8,3,0,1,2,0,0,0,0,2,0,0,2,4,2,2,0,2,0,4,0,0,0,0,2,0,0,0,2,0,2,15,3,4,2,24,9,1,0,15,10,0,0,10,0,0,31,9,18,9,13,5,13,0,0,0,27,2,25,0,0,0
text_23,67,4,1,1,0,0,0,0,0,3,7,4,17,5,5,10,4,6,5,0,1,2,2,9,4,7,3,0,3,12,7,4,2,0,0,0,9,0,2,0,0,23,9,0,4,6,3,3,8,5,0,2,2,2,0,0,0,9,3,0,6,0,0,24,8,13,8,9,1,0,3,0,0,11,0,2,8,0,1
text_24,57,1,1,1,0,0,0,0,0,0,8,2,2,3,0,26,14,12,6,0,1,5,0,2,0,2,2,0,4,0,3,2,1,0,0,0,10,0,6,2,0,4,0,0,2,0,0,0,10,5,1,1,14,3,0,1,10,18,8,0,10,0,0,42,11,26,12,6,2,6,1,0,0,11,0,8,0,2,1
text_25,86,6,3,2,1,0,0,0,0,3,10,10,14,10,0,11,12,9,6,0,0,4,2,7,2,7,6,0,7,9,5,3,1,0,0,0,10,0,1,3,0,32,8,1,8,9,5,2,5,1,1,3,2,2,0,0,0,15,2,4,8,2,0,45,16,18,19,18,6,1,0,1,0,16,0,0,7,4,7
text_26,9,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,5,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0
text_27,47,1,0,0,0,0,0,0,0,1,6,0,8,9,1,6,10,4,10,2,3,4,1,6,1,6,4,0,5,4,1,1,0,0,0,0,4,0,1,2,0,8,1,0,0,3,2,3,6,4,0,0,2,0,0,0,2,4,1,0,2,0,1,24,8,12,11,5,0,0,0,0,0,10,0,1,2,3,5
text_28,39,5,3,3,0,0,0,0,0,2,3,2,9,3,2,5,4,1,2,0,2,0,0,8,3,5,3,0,2,2,4,2,1,0,0,0,3,0,1,0,0,6,3,2,2,1,0,0,1,0,0,1,1,1,0,0,0,3,1,1,2,0,0,12,6,8,1,5,3,1,1,0,0,4,0,0,4,0,0
text_29,280,28,9,8,0,0,1,0,0,19,36,17,55,15,15,40,32,22,27,4,8,11,4,32,9,27,26,1,20,39,46,27,13,0,0,0,39,2,6,3,1,70,15,4,17,10,13,18,25,10,2,9,27,11,3,2,13,34,12,2,18,0,2,116,38,51,45,19,9,8,3,3,1,29,0,6,15,2,7
text_30,99,7,2,2,0,0,0,0,0,5,12,2,29,19,3,12,5,4,11,4,4,1,2,20,8,14,9,3,5,11,5,3,1,0,0,0,5,2,0,0,0,18,9,0,2,2,1,6,7,1,4,2,5,4,1,0,1,20,4,1,14,1,1,35,9,23,10,5,4,3,0,0,0,19,0,4,9,2,5
text_31,61,0,0,0,0,0,0,0,0,0,11,0,2,2,0,21,10,5,6,0,2,3,1,3,0,3,2,0,15,4,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,1,0,0,4,1,0,0,12,2,0,0,10,3,0,0,3,0,0,65,18,27,23,3,2,8,1,0,0,2,0,0,0,2,0
text_32,18,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,6,3,4,0,4,0,0,1,0,1,2,0,3,1,4,3,1,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,13,0,7,4,18,11,0,0,8,7,2,2,3,0,0,13,2,6,6,5,5,6,0,0,0,15,0,15,0,0,0
text_33,133,7,4,2,0,2,0,0,1,3,8,0,15,4,4,33,21,11,15,2,4,8,1,13,1,12,9,1,37,14,23,14,9,0,0,2,13,0,3,3,0,17,2,4,2,6,0,3,13,0,5,5,13,6,0,0,7,22,3,1,16,0,2,76,13,51,21,11,6,7,2,1,1,5,0,0,3,1,1
text_34,66,5,1,1,0,0,0,0,0,4,6,14,14,6,10,8,2,4,2,0,1,1,0,7,0,7,4,0,3,8,11,4,7,0,0,0,4,0,1,0,0,26,0,0,15,4,6,7,4,0,2,1,4,0,1,0,3,7,1,2,4,0,0,17,4,6,8,6,0,0,1,0,0,9,0,1,7,1,0
text_35,34,7,2,2,0,0,0,0,0,5,4,2,3,1,0,4,1,3,3,1,0,0,2,7,4,5,1,0,4,6,6,3,3,0,0,0,2,0,0,1,0,10,3,0,2,0,3,2,2,0,0,0,8,2,3,1,2,7,1,0,6,0,0,7,1,3,4,2,0,2,4,0,1,5,0,0,5,1,0
