,1,2,3,4,5,6,7,8,19,9,11,12,13,14,15,17,18,131,132,90,91,92,133,140,141,142,22,23,24,25,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,56,60,61,62,63,70,71,72,73,74,80,81,82,83,84,85,100,101,102,103,110,111,112,113,114,115,120,121,122,123,124,125
text_01,2874,499,332,209,8,35,67,14,6,168,354,220,635,254,225,285,172,113,300,49,74,82,102,476,169,398,184,26,120,209,563,177,322,30,48,55,460,56,24,81,59,746,225,63,173,105,124,185,267,85,83,53,278,111,118,21,52,355,58,29,199,53,44,802,234,419,254,85,35,23,17,18,41,491,16,110,282,43,82
text_02,4167,717,452,313,9,20,95,15,5,265,554,296,916,400,312,447,322,202,450,86,104,121,140,602,195,539,334,21,220,338,761,238,433,36,68,80,610,51,30,112,75,1075,366,64,239,197,208,245,324,118,79,90,311,145,116,27,53,550,92,54,271,86,87,1225,323,677,425,134,29,74,31,18,29,572,10,43,405,68,81
text_03,1868,214,141,103,4,10,16,8,2,73,264,137,405,144,131,234,143,74,230,47,80,31,87,316,125,261,123,18,113,146,517,165,295,31,39,71,261,39,30,17,22,505,171,55,136,68,70,105,176,28,39,45,469,134,281,28,103,322,56,38,123,68,58,636,198,271,248,77,40,32,8,27,25,383,8,145,198,16,40
text_04,2738,430,297,187,10,89,7,4,31,133,317,199,588,262,147,308,179,102,324,69,98,67,121,471,188,371,191,25,135,214,617,205,322,20,34,81,316,11,15,22,8,834,264,74,212,156,137,165,178,53,32,64,301,105,160,17,54,355,58,52,178,65,43,781,199,337,324,69,33,23,13,47,47,432,5,44,303,40,78
text_05,1216,206,140,103,4,21,11,1,1,66,148,81,235,65,92,161,61,45,128,15,37,21,57,202,94,162,68,8,75,96,263,96,137,11,11,36,164,19,13,15,12,348,143,26,83,64,35,72,109,22,29,27,233,67,135,5,71,204,28,22,102,36,24,396,124,183,161,57,27,12,15,14,13,246,3,88,143,11,12
text_06,2304,402,289,234,4,14,27,10,6,113,277,201,445,182,214,233,121,71,262,27,91,50,98,380,179,293,132,32,98,141,434,130,258,37,27,40,304,30,16,36,27,684,239,42,182,88,68,154,156,45,40,54,199,90,79,11,36,266,40,44,120,39,46,596,166,307,198,41,24,16,7,15,22,403,2,57,293,52,46
text_07,3645,567,376,285,8,7,51,25,3,191,470,212,771,350,258,489,319,196,414,66,109,92,155,549,194,487,277,31,193,302,551,153,338,37,32,61,616,239,27,191,119,896,289,81,156,107,151,217,275,64,99,68,369,150,160,12,79,553,78,58,323,70,65,1149,328,582,406,148,54,105,25,23,9,595,4,111,344,79,102
text_08,3018,458,273,219,8,33,12,2,8,186,377,151,595,299,208,429,222,149,336,82,102,62,101,425,157,354,216,28,206,297,464,143,279,41,38,41,348,38,22,34,10,775,271,66,144,130,121,191,297,98,100,44,358,132,161,13,82,373,57,38,227,39,45,1007,272,524,333,105,33,55,11,22,19,459,5,121,247,44,66
text_09,2131,294,168,130,0,6,23,9,0,126,245,140,462,200,153,235,171,120,220,34,68,52,70,349,119,294,149,31,137,152,395,133,220,25,32,50,258,29,13,66,8,551,190,45,115,103,68,124,202,51,52,51,236,104,110,11,40,300,20,22,174,72,30,665,211,354,201,66,36,32,13,12,14,301,10,28,213,29,43
text_10,1276,217,132,118,0,3,7,4,0,85,162,124,283,122,106,126,75,40,106,22,32,30,30,164,58,128,80,19,58,106,304,62,204,18,13,101,112,10,3,10,7,417,102,53,92,69,78,100,75,23,14,26,165,43,110,5,28,127,19,19,63,19,27,319,79,170,111,26,16,5,5,8,16,141,5,14,100,12,21
text_11,1022,145,107,87,1,0,16,3,0,38,113,71,257,99,87,95,72,40,120,28,33,24,37,221,100,155,68,12,36,57,235,88,123,19,9,33,146,42,5,60,6,310,109,32,54,57,61,72,111,24,37,36,105,48,47,4,13,160,12,14,93,26,22,304,78,153,114,18,10,14,1,11,5,200,2,51,130,11,10
text_12,1298,153,83,66,0,8,5,4,2,70,154,86,244,90,118,154,93,56,151,13,55,28,56,301,143,210,66,19,65,84,276,83,167,12,24,39,157,18,11,20,8,384,147,49,74,45,43,83,126,26,33,48,150,60,59,9,38,209,20,37,133,18,20,400,137,180,135,58,31,24,8,7,6,223,8,12,173,47,33
text_13,909,202,124,98,1,13,11,1,0,78,123,65,179,67,74,102,43,38,64,9,19,19,20,119,33,103,74,7,47,74,235,72,144,21,22,30,161,11,2,9,17,290,95,20,61,50,43,68,62,15,13,25,101,34,49,11,13,131,24,19,64,17,25,217,56,116,77,23,9,7,4,10,7,97,3,8,71,11,9
text_14,4020,572,367,284,8,21,51,5,0,207,471,275,883,357,319,445,279,161,490,98,144,73,193,701,320,553,214,43,232,286,777,248,455,61,37,58,474,56,17,106,36,1125,362,105,229,190,131,292,343,71,99,97,485,171,215,32,109,535,70,50,301,80,84,1243,367,638,404,133,54,68,20,28,30,803,14,222,469,73,103
text_15,278,27,16,14,0,0,1,1,0,11,37,21,59,24,22,37,16,15,25,2,9,3,11,62,15,57,14,5,22,33,75,11,58,1,14,15,27,7,3,4,1,83,28,11,14,11,19,19,25,3,3,10,61,16,41,3,17,44,5,11,23,4,5,71,17,32,27,19,1,2,12,2,9,44,1,8,28,2,10
